Fire,Aspect,DEM,MeanMaximumTemperature,MeanMinimumTemperature,Moisture,NDVI,Precipitation,Runoff,Slope,Vapour,WindSpeed,Drivers,Dlake,Droads,Dset,landcover
1,309.5226966,79,241.3333333,114.9166667,669.75,0.698534548,97.16666667,7.583333333,2.252192405,1449.416667,255,95.82219426,1599.352508,4701.802842,15840.79991,42
1,301.8822579,15,251.5833333,122.3333333,424.8333333,0.580090284,99.5,6.583333333,1.62856267,1503.5,272.5,127.4828645,492.6102876,4660.820249,8971.883638,82
1,80.63989492,150,242.75,108.9166667,1292.666667,0.421387643,92.58333333,6.083333333,3.522379467,1424.25,245.8333333,796.3900119,2382.615938,3284.578064,25536.32321,42
1,141.1327283,169,240,107.9166667,1486.833333,0.590712011,95.83333333,13.25,1.10491899,1455,255.8333333,311.6644623,1536.690691,165.6182088,5183.7931,21
1,321.2775487,18,253.9166667,122.5833333,626.75,0.724147379,103.5,7.166666667,1.102676776,1528.166667,279.1666667,2254.97744,4658.157465,2826.149856,5395.182093,22
1,74.30004454,21,260,135.8333333,1083.5,0.731259942,114.9166667,6.416666667,1.059745424,1706.666667,271.6666667,971.2582371,6304.433913,5155.345639,23441.76007,82
1,292.581338,16,254.8333333,122.0833333,664.9166667,0.499135584,103.8333333,8.25,0.746841891,1531.75,276.6666667,701.8093524,1543.368525,975.3605673,4482.662711,21
1,270,8,252.1666667,133.75,823.3333333,0.819785774,106.25,5.333333333,1.371356597,1629.416667,345.8333333,552.0116298,3007.295997,75.31283829,31186.98256,42
1,208.3547018,42,260.8333333,133.6666667,1121.25,0.829100549,114.0833333,6.916666667,3.580227542,1675.083333,253.3333333,483.2021409,1844.694161,12.21576925,34522.29059,22
1,266.0324807,17,251.25,129.3333333,829.25,0.823430002,111,5.666666667,4.137834854,1585.416667,322.5,191.1165898,2596.248007,2949.842289,16089.67139,42
1,50.10945422,34,254.6666667,127,980.6666667,0.867345452,116.6666667,13.5,0.447190663,1581,265.8333333,108.9693959,5106.96757,3034.507966,23422.11988,21
1,30.8738426,6,250.3333333,133.4166667,1074.25,0.600430787,112.0833333,5.75,0.668266894,1645.166667,371.6666667,422.5522082,1086.343721,4612.665787,13107.64355,21
1,224.2078424,56,244.8333333,117.1666667,524.8333333,0.6807248,89.83333333,5.666666667,1.999699831,1432.083333,245,58.75148587,83.55360456,5222.274856,6471.052666,22
1,90,57,245.75,119.8333333,480.0833333,0.49538976,95.83333333,5.25,1.388421197,1464.5,260.8333333,340.0617005,3113.859275,10.52969936,2833.805332,82
1,0,89,242.1666667,118.5,649.8333333,0.729678035,104.0833333,8.75,2.006775481,1470.25,260,250.4404476,830.7209873,6419.40477,11062.00262,42
1,121.9625205,19,252.9166667,126.9166667,725.0833333,0.877071261,107.4166667,5.5,1.624906769,1561.75,305,1203.651364,1800.396894,526.7254119,32193.24445,90
1,41.06020171,84,253.9166667,117.5,674.9166667,0.547196031,104.4166667,13.5,4.176554199,1509.583333,246.6666667,66.111313,1698.392399,3.286375169,7256.784486,95
1,211.1415748,55,246.75,120,576,0.782422006,100.75,6.333333333,2.678753693,1478.583333,261.6666667,1114.124099,2095.467622,2772.848757,20698.41397,82
1,90,146,241.25,115.5,558.6666667,0.455174237,94,6.916666667,2.087850717,1430.416667,255,1035.79646,1475.816429,22.26700713,12461.76407,22
1,270,14,246.4166667,145,868.0833333,0.712089837,105.6666667,5.25,0.683447511,1677.75,371.6666667,343.6953198,1568.282735,1729.572623,704.4301091,42
1,121.6500778,141,237.5,111.5,664.8333333,0.733947992,94,12.16666667,1.639249707,1410.75,246.6666667,55.17386049,2227.698894,3761.192726,33208.87316,43
